restaurant_id,restaurant_name,city,opening_hours
1,Ramesh's Kitchens,Indore,11:00 AM - 11:00 PM
2,Sapphire Point,Bengaluru,8:00 AM - 10:00 PM
3,The Dhaba Diner,Delhi,12:00 PM - 12:00 AM
4,Meera's Kitchen,Mumbai,9:00 AM - 10:00 PM
5,Crimson Deck,Jaipur,12:00 PM - 12:00 AM
6,Isha's Hub,Hyderabad,8:00 AM - 10:00 PM
7,The Dhaba Junction,Hyderabad,12:00 PM - 11:00 PM
8,Vintage Dining,Nagpur,11:30 AM - 11:30 PM
9,Banyan Swaad Kitchen & Bar,Indore,12:00 PM - 11:00 PM
10,Emerald Restro,Bengaluru,10:00 AM - 11:00 PM
11,Baati,Delhi,12:00 PM - 11:00 PM
12,Swadishth,Chandigarh,11:00 AM - 11:00 PM
13,The Regal Dining,Nagpur,9:00 AM - 10:00 PM
14,Nawab Lounge,Delhi,12:00 PM - 11:00 PM
15,Moonlight Diner,Chennai,11:30 AM - 11:30 PM
16,Ashok's Bakehouse,Lucknow,10:00 AM - 11:00 PM
17,Sunset Jasmine Food Co,Surat,10:00 AM - 11:00 PM
18,Crimson Restro,Chandigarh,10:00 AM - 11:00 PM
19,Malabar Platter,Chennai,12:00 PM - 11:00 PM
20,Rustic Table,Pune,11:00 AM - 11:00 PM
21,Sunset Corner,Indore,8:00 AM - 10:00 PM
22,Dastarkhwan,Surat,10:00 AM - 11:00 PM
23,Nandini's Roastery,Bengaluru,12:00 PM - 11:00 PM
24,Peepal Lounge,Bhopal,8:00 AM - 10:00 PM
25,The Banyan Terrace,Surat,11:00 AM - 11:00 PM
26,Biryani Blues,Chandigarh,9:00 AM - 10:00 PM
27,Isha's Cafe,Chennai,9:00 AM - 10:00 PM
28,Meera's Cafe,Bhopal,8:00 AM - 10:00 PM
29,The Green Table,Surat,12:00 PM - 11:00 PM
30,Emerald Thali House,Bengaluru,11:00 AM - 11:00 PM
31,Green Emerald Roastery,Indore,12:00 PM - 12:00 AM
32,Chaat Street,Indore,12:00 PM - 12:00 AM
33,Nawab Turmeric Grill,Kolkata,11:00 AM - 11:00 PM
34,Karahi Grill,Jaipur,12:00 PM - 11:00 PM
35,The Swaad Tiffin,Chandigarh,9:00 AM - 10:00 PM
36,Pooja's Cafe,Nagpur,8:00 AM - 10:00 PM
37,Cardamom Chulha Courtyard,Delhi,12:00 PM - 11:00 PM
38,Dilli Platter,Ahmedabad,12:00 PM - 12:00 AM
39,Banyan Dining,Chandigarh,9:00 AM - 10:00 PM
40,Ritu's Diner,Nagpur,11:00 AM - 11:00 PM
41,Mirch,Chennai,12:00 PM - 11:00 PM
42,Handi Royal Lounge,Mumbai,8:00 AM - 10:00 PM
43,Saffron Bamboo Brew House,Nagpur,10:00 AM - 11:00 PM
44,Heritage Red House,Chandigarh,8:00 AM - 10:00 PM
45,Banyan Terrace,Lucknow,10:00 AM - 11:00 PM
46,Regal Deck,Nagpur,10:00 AM - 11:00 PM
47,The Angeethi Thali House,Bhopal,9:00 AM - 10:00 PM
48,Skyline Feast,Ahmedabad,9:00 AM - 10:00 PM
49,Ritu's Hub,Bhopal,11:30 AM - 11:30 PM
50,Banyan Lounge,Mumbai,10:00 AM - 11:00 PM
51,Handi Spice Bakehouse,Delhi,8:00 AM - 10:00 PM
52,Zaffran,Nagpur,12:00 PM - 12:00 AM
53,Sunset Tiffin,Surat,12:00 PM - 11:00 PM
54,Riverside Golden Bistro,Chennai,12:00 PM - 12:00 AM
55,Malabar Diner,Hyderabad,12:00 PM - 12:00 AM
56,The Punjab Restro,Kolkata,8:00 AM - 10:00 PM
57,Suresh's Point,Bhopal,12:00 PM - 12:00 AM
58,Isha's Corner,Hyderabad,10:00 AM - 11:00 PM
59,Swaad Hub,Mumbai,12:00 PM - 12:00 AM
60,Amber Riverside Table,Lucknow,10:00 AM - 11:00 PM
61,Sunrise Bawarchi Tiffin,Indore,8:00 AM - 10:00 PM
62,Priya's Cafe,Delhi,9:00 AM - 10:00 PM
63,Red Kitchen,Jaipur,10:00 AM - 11:00 PM
64,Anjali's Bakes,Hyderabad,12:00 PM - 12:00 AM
65,Mysore Food Co,Lucknow,12:00 PM - 11:00 PM
66,Anjali's Diner,Nagpur,12:00 PM - 11:00 PM
67,White Mysore Deck,Delhi,8:00 AM - 10:00 PM
68,Tehzeeb Hub,Kolkata,12:00 PM - 11:00 PM
69,Manoj's Bakes,Surat,8:00 AM - 10:00 PM
70,Dosa Junction,Kolkata,8:00 AM - 10:00 PM
71,Tashan,Hyderabad,10:00 AM - 11:00 PM
72,Rustic Brew House,Ahmedabad,10:00 AM - 11:00 PM
73,Pani Puri House,Chennai,12:00 PM - 11:00 PM
74,The Rustic Bistro,Ahmedabad,11:30 AM - 11:30 PM
75,Dhoom,Mumbai,8:00 AM - 10:00 PM
76,The Copper Cafe,Delhi,11:30 AM - 11:30 PM
77,Karahi Terrace,Kolkata,12:00 PM - 11:00 PM
78,Marigold Grill,Chandigarh,12:00 PM - 11:00 PM
79,Bawarchi Rustic Bistro,Kolkata,9:00 AM - 10:00 PM
80,Isha's Feast,Bhopal,11:30 AM - 11:30 PM
